greeter	screener	dispenser	medic	resources	throughput	time
5	12	38	3	58	2516.66666667	31.9001007115
7	12	34	5	58	2572.33333333	35.3374523755
8	13	34	3	58	2603.0	36.1851262638
4	14	34	7	59	2429.33333333	23.7216966331
4	12	38	5	59	2447.66666667	24.6726886446
5	12	38	4	59	2519.33333333	28.964647148
7	14	34	4	59	2645.0	37.7936064377
5	14	34	7	60	2598.0	27.1477705941
5	13	38	4	60	2654.33333333	29.7469660812
8	12	38	2	60	2701.0	42.8975593771
9	12	38	1	60	2758.66666667	44.2249523447
7	14	38	1	60	2879.66666667	48.7903121731
7	14	34	6	61	2657.66666667	32.5453233034
5	14	41	1	61	2824.66666667	37.9190666849
8	14	38	1	61	2852.33333333	38.7570726674
8	12	38	4	62	2698.33333333	35.0286415149
9	12	38	3	62	2790.0	35.3582504746
5	14	41	2	62	2864.66666667	39.4409476892
4	12	41	6	63	2460.0	24.3330628615
5	13	41	4	63	2694.33333333	29.0334671128
9	12	38	4	63	2800.0	32.9579912698
5	14	41	3	63	2881.33333333	33.8410363809
8	13	41	1	63	2914.66666667	41.341141623
7	14	41	1	63	2997.0	45.3892564052
5	14	41	4	64	2859.66666667	32.7203062714
8	14	38	4	64	2900.66666667	36.4036618505
8	14	41	1	64	3072.33333333	41.5243418978
5	13	41	6	65	2685.0	26.844295428
5	14	41	5	65	2858.66666667	28.8001948548
9	14	38	4	65	2884.66666667	34.9721698503
8	14	41	2	65	3062.66666667	37.7321433105
4	14	41	7	66	2447.33333333	23.6251176292
5	14	41	6	66	2833.66666667	27.9644872342
7	14	41	4	66	3000.66666667	32.5113583544
8	14	41	3	66	3029.0	36.9607891412
9	14	41	2	66	3096.66666667	40.4584792813
5	14	41	7	67	2842.33333333	26.366069095
7	14	41	5	67	2990.66666667	31.1804036403
9	14	41	3	67	3046.0	36.4808622839
7	14	41	6	68	2987.33333333	29.7266879212
9	14	41	4	68	3011.33333333	36.3152161459
13	13	41	1	68	3128.66666667	46.9151484777
9	14	41	5	69	3027.0	31.513124718
13	14	41	1	69	3123.0	46.773127602
4	14	46	6	70	2448.66666667	23.6431389531
9	14	41	6	70	3063.66666667	31.4340022058
13	13	41	3	70	3082.66666667	32.1816244304
16	12	41	1	70	3138.0	44.8980028686
4	14	47	6	71	2439.0	23.5841434219
4	14	46	7	71	2446.66666667	23.5922261129
5	24	38	4	71	2906.66666667	28.7228508145
18	10	41	2	71	3000.0	30.5696698528
13	13	41	4	71	3078.66666667	30.9054898269
8	14	46	3	71	3086.66666667	35.45819385
13	14	41	3	71	3200.66666667	39.3375931182
5	14	46	7	72	2875.66666667	25.094765683
18	10	41	3	72	2993.33333333	29.1556344049
7	14	47	4	72	3034.33333333	29.9105908565
